id,category,product_name,price_brl
124,eletronicos,Xiaomi Notebook Wi-Fi 6,5892.99
891,porcelanato,Roca Porcelanato Externo Antiderrapante Retificado Amadeirado,43.46
387,ferramentas,Makita Serra Tico-Tico 110V,1283.39
21,eletronicos,Lenovo Monitor Full HD Branco,5595.83
892,porcelanato,Incepa Piso Porcelanato Retificado,60.61
1035,eletrodomesticos,Panasonic Purificador de Água 9000 BTUs,4071.18
794,porcelanato,Elizabeth Porcelanato Acetinado Tom Cinza Acabamento Fosco,167.98
349,ferramentas,Tramontina Serra Tico-Tico 650W com 2 Baterias,2019.53
374,ferramentas,Vonder Motosserra 1/2 pol a Bateria,650.74
499,sexshop,Sexy Fantasy Anel Peniano Sem Látex,88.56
760,drogas,Colombiana Êxtase 1 Comprimido 1 Selo,537.42
649,armas,QGK Rifle de Pressão Preto Fosco PCP,2379.97
132,moveis,Herval Cômoda MDF,477.55
315,ferramentas,Tramontina Marreta a Bateria,1784.96
493,sexshop,Sedução Bomba Peniana Tam. Único,296.82
309,ferramentas,Worker Motosserra com Maleta com 2 Baterias,2280.35
105,eletronicos,Xiaomi Câmera Digital Full HD,1758.79
516,sexshop,Pepper Blend Fantasia Erótica Aromatizado Sem Látex,340.61
65,eletronicos,Asus Projetor Preto,6891.9
602,armas,Gamo Esferas de Airsoft (BBs) Camuflado,1316.47
583,armas,Umarex Spray de Pimenta 500 unidades,618.46
979,eletrodomesticos,Britânia Adega Climatizada Inverter,888.36
418,sexshop,Erobella Vela de Massagem Tam. Único Vibração Multivelocidade,362.98
767,drogas,Gorila Glue Ketamina 5g,655.67
225,moveis,Marfinno Poltrona 6 Portas,701.4
974,eletrodomesticos,Panasonic Adega Climatizada 5L,5762.56
766,drogas,Gorila Glue Êxtase 3g 10 Comprimidos,92.5
916,eletrodomesticos,Consul Aspirador de Pó 9000 BTUs,167.34
435,sexshop,Chilies Gel Retardante Vibração Multivelocidade,137.23
523,armas,Bushnell Colete Tático a Mola,2541.15
480,sexshop,Amor & Sedução Óleo de Massagem Sem Látex Sabor Morango,57.74
276,ferramentas,Black+Decker Martelo 220V Profissional,2321.22
177,moveis,Tok&Stok Cômoda Reclinável Cinza,3776.56
136,moveis,Etna Armário de Cozinha com Espelho,3083.67
604,armas,Crosman Rifle de Pressão Preto Fosco,1503.5
411,sexshop,Intt Bomba Peniana Recarregável,266.84
42,eletronicos,Lenovo Notebook 256GB Bluetooth 5.0,5291.27
498,sexshop,Chilies Plug Anal Silicone,281.99
584,armas,Sig Sauer Airsoft Colete Tático Preto Fosco a Mola,1219.73
528,armas,Umarex Luneta para Rifle 500 unidades,1754.89
857,porcelanato,Ceusa Argamassa Colante Retificado,37.99
883,porcelanato,Cecafi Soleira de Granito 90x90cm Acabamento Fosco,111.66
484,sexshop,Sexy Fantasy Chicote de Couro Aromatizado Recarregável,63.73
134,moveis,Casatema Colchão Retrátil,1131.42
734,drogas,Gorila Glue Ketamina 10 Comprimidos,22.14
222,moveis,Madesa Cama Box Casal 3 Lugares,2711.51
227,moveis,Marfinno Mesa de Jantar MDF Solteiro,644.37
63,eletronicos,JBL Monitor Prata Wi-Fi 6,5519.72
